t_s,power,vel_tps,voltage_v
0.0002,0.2000,0.00,13.813
0.0333,0.2000,0.00,13.804
0.0435,0.2000,0.00,13.804
0.0537,0.2000,0.00,13.791
0.0639,0.2000,0.00,13.804
0.0740,0.2000,0.00,13.809
0.0842,0.2000,0.00,13.813
0.0943,0.2000,0.00,13.804
0.1045,0.2000,0.00,13.809
0.1146,0.2000,0.00,13.813
0.1247,0.2000,0.00,13.809
0.1348,0.2000,0.00,13.804
0.1449,0.2000,0.00,13.813
0.1550,0.2000,0.00,13.809
0.1651,0.2000,0.00,13.804
0.1752,0.2000,0.00,13.809
0.1854,0.2000,0.00,13.804
0.1955,0.2000,0.00,13.813
0.2057,0.2000,0.00,13.817
0.2158,0.2000,0.00,13.809
0.2259,0.2000,0.00,13.813
0.2360,0.2000,0.00,13.813
0.2461,0.2000,0.00,13.813
0.2561,0.2000,0.00,13.822
0.2661,0.2000,0.00,13.813
0.2762,0.2000,0.00,13.817
0.2862,0.2000,0.00,13.813
0.2963,0.2000,0.00,13.809
0.3064,0.2000,0.00,13.813
0.3164,0.2000,0.00,13.817
0.3265,0.2000,0.00,13.817
0.3366,0.2000,0.00,13.817
0.3467,0.2000,0.00,13.822
0.3568,0.2000,0.00,13.822
0.3668,0.2000,0.00,13.831
0.3770,0.2000,0.00,13.826
0.3871,0.2000,0.00,13.831
0.3972,0.2000,0.00,13.826
0.4072,0.2000,0.00,13.826
0.4173,0.2000,0.00,13.826
0.4273,0.2000,0.00,13.817
0.4374,0.2000,0.00,13.826
0.4474,0.2000,0.00,13.826
0.4574,0.2000,0.00,13.822
0.4675,0.2000,0.00,13.826
0.4775,0.2000,0.00,13.817
0.4875,0.2000,0.00,13.826
0.4975,0.2000,0.00,13.826
0.5076,0.2000,0.00,13.826
0.5122,0.2000,0.00,13.826
0.5278,0.2000,0.00,13.826
0.5379,0.2000,0.00,13.826
0.5479,0.2000,0.00,13.826
0.5579,0.2000,0.00,13.817
0.5680,0.2000,0.00,13.826
0.5780,0.2000,0.00,13.817
0.5880,0.2000,0.00,13.817
0.5980,0.2000,0.00,13.826
0.6081,0.2000,0.00,13.822
0.6181,0.2000,0.00,13.822
0.6281,0.2000,0.00,13.817
0.6381,0.2000,0.00,13.817
0.6481,0.2000,0.00,13.822
0.6582,0.2000,0.00,13.822
0.6682,0.2000,0.00,13.826
0.6782,0.2000,0.00,13.822
0.6882,0.2000,0.00,13.817
0.6983,0.2000,0.00,13.826
0.7083,0.2000,0.00,13.817
0.7183,0.2000,0.00,13.822
0.7284,0.2000,0.00,13.822
0.7384,0.2000,0.00,13.813
0.7484,0.2000,0.00,13.817
0.7584,0.2000,0.00,13.813
0.7684,0.2000,0.00,13.822
0.7785,0.2000,0.00,13.813
0.7885,0.2000,0.00,13.817
0.7985,0.2000,0.00,13.813
0.8085,0.2000,0.00,13.809
0.8185,0.2000,0.00,13.809
0.8285,0.2000,0.00,13.813
0.8385,0.2000,0.00,13.813
0.8485,0.2000,0.00,13.809
0.8586,0.2000,0.00,13.809
0.8686,0.2000,0.00,13.822
0.8786,0.2000,0.00,13.813
0.8886,0.2000,0.00,13.813
0.8985,0.2000,0.00,13.809
0.9088,0.2000,0.00,13.817
0.9188,0.2000,0.00,13.809
0.9288,0.2000,0.00,13.813
0.9389,0.2000,0.00,13.813
0.9489,0.2000,0.00,13.813
0.9589,0.2000,0.00,13.809
0.9689,0.2000,0.00,13.804
0.9789,0.2000,0.00,13.804
0.9889,0.2000,0.00,13.804
0.9990,0.2000,0.00,13.809
1.0090,0.2000,0.00,13.804
1.0190,0.2000,0.00,13.817
1.0290,0.2000,0.00,13.809
1.0390,0.2000,0.00,13.817
1.0490,0.2000,0.00,13.804
1.0590,0.2000,0.00,13.809
1.0691,0.2000,0.00,13.809
1.0791,0.2000,0.00,13.813
1.0891,0.2000,0.00,13.813
1.0991,0.2000,0.00,13.817
1.1091,0.2000,0.00,13.809
1.1191,0.2000,0.00,13.817
1.1291,0.2000,0.00,13.813
1.1392,0.2000,0.00,13.813
1.1492,0.2000,0.00,13.813
1.1592,0.2000,0.00,13.809
1.1692,0.2000,0.00,13.809
1.1792,0.2000,0.00,13.809
1.1893,0.2000,0.00,13.813
1.1993,0.2000,0.00,13.809
1.2093,0.2000,0.00,13.817
1.2193,0.2000,0.00,13.813
1.2293,0.2000,0.00,13.817
1.2394,0.2000,0.00,13.809
1.2494,0.2000,0.00,13.817
1.2594,0.2000,0.00,13.813
1.2694,0.2000,0.00,13.813
1.2794,0.2000,0.00,13.809
1.2894,0.2000,0.00,13.813
1.2994,0.2000,0.00,13.809
1.3094,0.2000,0.00,13.809
1.3195,0.2000,0.00,13.796
1.3295,0.2000,0.00,13.809
1.3395,0.2000,0.00,13.809
1.3495,0.2000,0.00,13.809
1.3596,0.2000,0.00,13.804
1.3696,0.2000,0.00,13.804
1.3796,0.2000,0.00,13.804
1.3896,0.2000,0.00,13.809
1.3996,0.2000,0.00,13.809
1.4096,0.2000,0.00,13.813
1.4197,0.2000,0.00,13.809
1.4297,0.2000,0.00,13.817
1.4397,0.2000,0.00,13.804
1.4497,0.2000,0.00,13.813
1.4597,0.2000,0.00,13.809
1.4698,0.2000,0.00,13.813
1.4798,0.2000,0.00,13.804
1.4899,0.2000,0.00,13.813
1.4999,0.2000,0.00,13.804
1.5099,0.2000,0.00,13.804
1.5199,0.2000,0.00,13.800
1.5299,0.2000,0.00,13.809
1.5399,0.2000,0.00,13.804
1.5499,0.2000,0.00,13.809
1.5600,0.2000,0.00,13.796
1.5700,0.2000,0.00,13.800
1.5800,0.2000,0.00,13.796
1.5900,0.2000,0.00,13.804
1.6000,0.2000,0.00,13.804
1.6100,0.2000,0.00,13.809
1.6200,0.2000,0.00,13.809
1.6301,0.2000,0.00,13.809
1.6401,0.2000,0.00,13.804
1.6501,0.2000,0.00,13.809
1.6613,0.2000,0.00,13.804
1.6713,0.2000,0.00,13.804
1.6813,0.2000,0.00,13.804
1.6914,0.2000,0.00,13.809
1.7014,0.2000,0.00,13.804
1.7114,0.2000,0.00,13.800
1.7214,0.2000,0.00,13.800
1.7314,0.2000,0.00,13.800
1.7415,0.2000,0.00,13.809
1.7515,0.2000,0.00,13.800
1.7615,0.2000,0.00,13.800
1.7715,0.2000,0.00,13.796
1.7815,0.2000,0.00,13.796
1.7916,0.2000,0.00,13.800
1.8016,0.2000,0.00,13.796
1.8116,0.2000,0.00,13.800
1.8216,0.2000,0.00,13.791
1.8316,0.2000,0.00,13.800
1.8416,0.2000,0.00,13.800
1.8516,0.2000,0.00,13.804
1.8617,0.2000,0.00,13.796
1.8717,0.2000,0.00,13.800
1.8817,0.2000,0.00,13.800
1.8917,0.2000,0.00,13.800
1.9017,0.2000,0.00,13.796
1.9117,0.2000,0.00,13.804
1.9218,0.2000,0.00,13.796
1.9318,0.2000,0.00,13.800
1.9418,0.2000,0.00,13.800
1.9518,0.2000,0.00,13.800
1.9618,0.2000,0.00,13.800
1.9718,0.2000,0.00,13.796
1.9819,0.2000,0.00,13.800
1.9919,0.2000,0.00,13.796
2.0019,0.2000,0.00,13.800
2.0119,0.2000,0.00,13.796
2.0219,0.2000,0.00,13.804
2.0319,0.2000,0.00,13.800
2.0419,0.2000,0.00,13.804
2.0519,0.2000,0.00,13.804
2.0620,0.2000,0.00,13.809
2.0729,0.2000,0.00,13.800
2.0830,0.2000,0.00,13.800
2.0930,0.2000,0.00,13.800
2.1030,0.2000,0.00,13.804
2.1130,0.2000,0.00,13.800
2.1230,0.2000,0.00,13.804
2.1330,0.2000,0.00,13.791
2.1430,0.2000,0.00,13.791
2.1530,0.2000,0.00,13.796
2.1631,0.2000,0.00,13.796
2.1731,0.2000,0.00,13.800
2.1834,0.2000,0.00,13.796
