t_s,power,vel_tps,voltage_v
0.0100,0.2000,0.00,12.559
0.0201,0.2000,0.00,12.555
0.0301,0.2000,0.00,12.555
0.0401,0.2000,0.00,12.555
0.0501,0.2000,20.00,12.559
0.0601,0.2000,20.00,12.559
0.0712,0.2000,20.00,12.559
0.0813,0.2000,40.00,12.559
0.0913,0.2000,40.00,12.555
0.1014,0.2000,20.00,12.555
0.1114,0.2000,40.00,12.550
0.1214,0.2000,40.00,12.550
0.1314,0.2000,40.00,12.559
0.1414,0.2000,40.00,12.555
0.1514,0.2000,60.00,12.550
0.1614,0.2000,40.00,12.550
0.1715,0.2000,60.00,12.550
0.1815,0.2000,40.00,12.559
0.1915,0.2000,60.00,12.559
0.2015,0.2000,40.00,12.555
0.2115,0.2000,60.00,12.550
0.2216,0.2000,60.00,12.546
0.2316,0.2000,60.00,12.555
0.2416,0.2000,60.00,12.559
0.2516,0.2000,80.00,12.555
0.2617,0.2000,60.00,12.550
0.2717,0.2000,60.00,12.550
0.2817,0.2000,60.00,12.555
0.2917,0.2000,60.00,12.555
0.3018,0.2000,60.00,12.546
0.3118,0.2000,60.00,12.555
0.3218,0.2000,60.00,12.555
0.3318,0.2000,80.00,12.550
0.3418,0.2000,80.00,12.550
0.3518,0.2000,60.00,12.555
0.3618,0.2000,80.00,12.559
0.3718,0.2000,80.00,12.550
0.3818,0.2000,80.00,12.550
0.3919,0.2000,60.00,12.559
0.4019,0.2000,80.00,12.559
0.4119,0.2000,80.00,12.541
0.4219,0.2000,80.00,12.550
0.4319,0.2000,80.00,12.563
0.4419,0.2000,100.00,12.559
0.4519,0.2000,80.00,12.550
0.4620,0.2000,80.00,12.555
0.4720,0.2000,80.00,12.550
0.4820,0.2000,80.00,12.555
0.4920,0.2000,80.00,12.559
0.5001,0.2000,100.00,12.559
0.5146,0.2000,100.00,12.555
0.5246,0.2000,100.00,12.559
0.5346,0.2000,100.00,12.550
0.5447,0.2000,100.00,12.555
0.5547,0.2000,100.00,12.563
0.5649,0.2000,100.00,12.555
0.5749,0.2000,100.00,12.555
0.5849,0.2000,100.00,12.559
0.5950,0.2000,100.00,12.555
0.6050,0.2000,100.00,12.563
0.6150,0.2000,100.00,12.555
0.6250,0.2000,100.00,12.555
0.6350,0.2000,120.00,12.555
0.6450,0.2000,100.00,12.555
0.6550,0.2000,120.00,12.559
0.6651,0.2000,120.00,12.559
0.6751,0.2000,120.00,12.546
0.6851,0.2000,100.00,12.559
0.6951,0.2000,120.00,12.550
0.7052,0.2000,100.00,12.559
0.7152,0.2000,100.00,12.563
0.7250,0.2000,100.00,12.550
0.7353,0.2000,100.00,12.555
0.7453,0.2000,120.00,12.555
0.7553,0.2000,120.00,12.555
0.7656,0.2000,120.00,12.563
0.7756,0.2000,120.00,12.555
0.7856,0.2000,120.00,12.559
0.7957,0.2000,100.00,12.550
0.8057,0.2000,100.00,12.555
0.8157,0.2000,100.00,12.559
0.8257,0.2000,100.00,12.555
0.8357,0.2000,100.00,12.559
0.8457,0.2000,120.00,12.555
0.8557,0.2000,120.00,12.555
0.8658,0.2000,120.00,12.559
0.8758,0.2000,120.00,12.555
0.8858,0.2000,120.00,12.559
0.8958,0.2000,100.00,12.550
0.9058,0.2000,120.00,12.555
0.9158,0.2000,120.00,12.559
0.9258,0.2000,120.00,12.555
0.9353,0.2000,120.00,12.550
0.9467,0.2000,120.00,12.555
0.9567,0.2000,100.00,12.559
0.9678,0.2000,120.00,12.555
0.9779,0.2000,120.00,12.559
0.9879,0.2000,120.00,12.550
0.9979,0.2000,120.00,12.563
1.0079,0.2000,120.00,12.559
1.0179,0.2000,100.00,12.555
1.0279,0.2000,120.00,12.555
1.0380,0.2000,120.00,12.555
1.0480,0.2000,120.00,12.563
1.0580,0.2000,120.00,12.555
1.0680,0.2000,140.00,12.559
1.0780,0.2000,120.00,12.555
1.0880,0.2000,120.00,12.559
1.0980,0.2000,120.00,12.555
1.1081,0.2000,120.00,12.559
1.1181,0.2000,120.00,12.555
1.1278,0.2000,120.00,12.555
1.1381,0.2000,120.00,12.563
1.1481,0.2000,120.00,12.550
1.1581,0.2000,140.00,12.563
1.1682,0.2000,120.00,12.546
1.1782,0.2000,120.00,12.559
1.1882,0.2000,120.00,12.559
1.1982,0.2000,120.00,12.555
1.2082,0.2000,120.00,12.559
1.2183,0.2000,120.00,12.555
1.2283,0.2000,120.00,12.563
1.2383,0.2000,120.00,12.559
1.2483,0.2000,140.00,12.559
1.2583,0.2000,120.00,12.555
1.2683,0.2000,120.00,12.555
1.2782,0.2000,120.00,12.559
1.2884,0.2000,120.00,12.550
1.2984,0.2000,120.00,12.559
1.3084,0.2000,120.00,12.550
1.3184,0.2000,120.00,12.559
1.3284,0.2000,120.00,12.550
1.3384,0.2000,140.00,12.559
1.3485,0.2000,120.00,12.555
1.3585,0.2000,120.00,12.555
1.3685,0.2000,120.00,12.563
1.3785,0.2000,120.00,12.550
1.3888,0.2000,120.00,12.559
1.3988,0.2000,120.00,12.550
1.4088,0.2000,120.00,12.555
1.4189,0.2000,120.00,12.559
1.4289,0.2000,140.00,12.550
1.4389,0.2000,120.00,12.555
1.4489,0.2000,120.00,12.559
1.4578,0.2000,120.00,12.559
1.4689,0.2000,140.00,12.555
1.4789,0.2000,120.00,12.559
1.4890,0.2000,120.00,12.550
1.4990,0.2000,120.00,12.559
1.5090,0.2000,140.00,12.555
1.5190,0.2000,120.00,12.559
1.5290,0.2000,120.00,12.555
1.5390,0.2000,140.00,12.555
1.5493,0.2000,140.00,12.555
1.5593,0.2000,120.00,12.555
1.5693,0.2000,140.00,12.559
1.5793,0.2000,120.00,12.550
1.5894,0.2000,120.00,12.559
1.5994,0.2000,140.00,12.550
1.6094,0.2000,140.00,12.563
1.6194,0.2000,120.00,12.555
1.6294,0.2000,120.00,12.559
1.6394,0.2000,140.00,12.559
1.6494,0.2000,120.00,12.555
1.6595,0.2000,120.00,12.555
1.6695,0.2000,120.00,12.555
1.6795,0.2000,140.00,12.559
1.6895,0.2000,120.00,12.550
1.6995,0.2000,120.00,12.559
1.7095,0.2000,120.00,12.550
1.7195,0.2000,140.00,12.563
1.7296,0.2000,120.00,12.555
1.7396,0.2000,120.00,12.559
1.7496,0.2000,140.00,12.555
1.7596,0.2000,140.00,12.555
1.7696,0.2000,120.00,12.559
1.7796,0.2000,120.00,12.555
1.7897,0.2000,140.00,12.559
1.7997,0.2000,120.00,12.555
1.8097,0.2000,120.00,12.559
1.8197,0.2000,140.00,12.550
1.8297,0.2000,140.00,12.559
1.8397,0.2000,120.00,12.550
1.8497,0.2000,140.00,12.559
1.8598,0.2000,140.00,12.555
1.8698,0.2000,120.00,12.559
1.8798,0.2000,120.00,12.550
1.8898,0.2000,140.00,12.555
1.8999,0.2000,120.00,12.559
1.9098,0.2000,120.00,12.555
1.9212,0.2000,140.00,12.555
1.9309,0.2000,140.00,12.550
1.9416,0.2000,120.00,12.559
1.9516,0.2000,120.00,12.555
1.9616,0.2000,140.00,12.559
1.9716,0.2000,120.00,12.550
1.9816,0.2000,120.00,12.559
1.9916,0.2000,140.00,12.555
2.0017,0.2000,140.00,12.559
2.0117,0.2000,120.00,12.550
2.0217,0.2000,140.00,12.555
2.0317,0.2000,140.00,12.555
2.0418,0.2000,120.00,12.555
2.0518,0.2000,140.00,12.555
2.0618,0.2000,140.00,12.550
2.0718,0.2000,120.00,12.559
2.0818,0.2000,120.00,12.546
2.0914,0.2000,140.00,12.550
2.1035,0.2000,120.00,12.546
2.1135,0.2000,120.00,12.559
2.1235,0.2000,120.00,12.555
2.1335,0.2000,140.00,12.559
2.1435,0.2000,120.00,12.555
2.1535,0.2000,120.00,12.555
2.1634,0.2000,140.00,12.555
2.1737,0.2000,140.00,12.550
2.1837,0.2000,120.00,12.555
2.1937,0.2000,120.00,12.550
2.2037,0.2000,140.00,12.555
2.2138,0.2000,120.00,12.550
2.2238,0.2000,120.00,12.555
2.2338,0.2000,120.00,12.550
2.2438,0.2000,140.00,12.555
2.2538,0.2000,120.00,12.555
2.2638,0.2000,120.00,12.550
2.2738,0.2000,140.00,12.555
2.2839,0.2000,140.00,12.550
2.2939,0.2000,120.00,12.559
2.3039,0.2000,120.00,12.550
2.3139,0.2000,120.00,12.555
2.3239,0.2000,120.00,12.546
2.3339,0.2000,120.00,12.555
2.3440,0.2000,120.00,12.555
2.3540,0.2000,140.00,12.559
2.3640,0.2000,140.00,12.550
2.3740,0.2000,120.00,12.550
2.3840,0.2000,140.00,12.555
2.3940,0.2000,140.00,12.550
2.4040,0.2000,120.00,12.559
2.4141,0.2000,140.00,12.550
2.4241,0.2000,140.00,12.555
2.4349,0.2000,120.00,12.550
2.4450,0.2000,140.00,12.559
2.4550,0.2000,140.00,12.550
2.4650,0.2000,120.00,12.559
2.4750,0.2000,120.00,12.550
2.4850,0.2000,140.00,12.559
2.4951,0.2000,120.00,12.550
2.5051,0.3500,120.00,12.559
2.5151,0.3500,140.00,12.423
2.5251,0.3500,140.00,12.423
2.5351,0.3500,140.00,12.402
2.5451,0.3500,140.00,12.428
2.5552,0.3500,160.00,12.415
2.5652,0.3500,160.00,12.415
2.5752,0.3500,180.00,12.428
2.5852,0.3500,180.00,12.410
2.5952,0.3500,200.00,12.415
2.6052,0.3500,200.00,12.428
2.6152,0.3500,220.00,12.432
2.6253,0.3500,220.00,12.432
2.6353,0.3500,220.00,12.423
2.6453,0.3500,240.00,12.423
2.6553,0.3500,260.00,12.423
2.6653,0.3500,240.00,12.432
2.6754,0.3500,260.00,12.437
2.6854,0.3500,280.00,12.432
2.6954,0.3500,280.00,12.432
2.7052,0.3500,280.00,12.437
2.7162,0.3500,300.00,12.437
2.7262,0.3500,300.00,12.445
2.7363,0.3500,300.00,12.454
2.7463,0.3500,300.00,12.454
2.7563,0.3500,300.00,12.454
2.7663,0.3500,300.00,12.454
2.7763,0.3500,320.00,12.441
2.7863,0.3500,320.00,12.450
2.7956,0.3500,340.00,12.454
2.8073,0.3500,340.00,12.454
2.8173,0.3500,360.00,12.450
2.8273,0.3500,340.00,12.458
2.8373,0.3500,360.00,12.463
2.8474,0.3500,340.00,12.454
2.8574,0.3500,360.00,12.463
2.8674,0.3500,360.00,12.467
2.8774,0.3500,360.00,12.450
2.8874,0.3500,360.00,12.463
2.8975,0.3500,380.00,12.467
2.9075,0.3500,380.00,12.458
2.9175,0.3500,380.00,12.471
2.9276,0.3500,400.00,12.454
2.9377,0.3500,400.00,12.463
2.9477,0.3500,380.00,12.463
2.9578,0.3500,380.00,12.458
2.9678,0.3500,380.00,12.476
2.9778,0.3500,380.00,12.463
2.9878,0.3500,380.00,12.471
2.9978,0.3500,420.00,12.463
3.0078,0.3500,420.00,12.471
3.0179,0.3500,420.00,12.463
3.0279,0.3500,420.00,12.471
3.0379,0.3500,420.00,12.476
3.0479,0.3500,400.00,12.467
3.0579,0.3500,400.00,12.463
3.0679,0.3500,420.00,12.476
3.0779,0.3500,420.00,12.467
3.0879,0.3500,420.00,12.476
3.0979,0.3500,420.00,12.463
3.1080,0.3500,440.00,12.476
3.1180,0.3500,420.00,12.476
3.1280,0.3500,420.00,12.476
3.1380,0.3500,440.00,12.471
3.1480,0.3500,440.00,12.471
3.1580,0.3500,420.00,12.471
3.1680,0.3500,440.00,12.476
3.1781,0.3500,440.00,12.480
3.1881,0.3500,440.00,12.463
3.1981,0.3500,440.00,12.476
3.2081,0.3500,440.00,12.471
3.2181,0.3500,440.00,12.480
3.2281,0.3500,440.00,12.476
3.2381,0.3500,440.00,12.467
3.2482,0.3500,440.00,12.480
3.2582,0.3500,460.00,12.471
3.2682,0.3500,440.00,12.476
3.2782,0.3500,460.00,12.476
3.2882,0.3500,440.00,12.471
3.2982,0.3500,460.00,12.480
3.3083,0.3500,440.00,12.476
3.3183,0.3500,460.00,12.476
3.3283,0.3500,440.00,12.476
3.3383,0.3500,460.00,12.471
3.3483,0.3500,460.00,12.480
3.3583,0.3500,460.00,12.476
3.3683,0.3500,460.00,12.480
3.3783,0.3500,460.00,12.485
3.3884,0.3500,460.00,12.476
3.3984,0.3500,440.00,12.471
3.4084,0.3500,460.00,12.480
3.4184,0.3500,460.00,12.476
3.4284,0.3500,460.00,12.476
3.4384,0.3500,460.00,12.480
3.4485,0.3500,480.00,12.476
3.4585,0.3500,460.00,12.476
3.4685,0.3500,460.00,12.476
3.4785,0.3500,460.00,12.471
3.4885,0.3500,460.00,12.485
3.4985,0.3500,460.00,12.485
3.5086,0.3500,460.00,12.471
3.5186,0.3500,460.00,12.476
3.5286,0.3500,480.00,12.485
3.5386,0.3500,460.00,12.480
3.5486,0.3500,460.00,12.489
3.5586,0.3500,480.00,12.480
3.5687,0.3500,460.00,12.480
3.5787,0.3500,460.00,12.480
3.5887,0.3500,480.00,12.485
3.5987,0.3500,460.00,12.476
3.6087,0.3500,460.00,12.485
3.6187,0.3500,480.00,12.485
3.6288,0.3500,460.00,12.480
3.6388,0.3500,460.00,12.476
3.6488,0.3500,480.00,12.485
3.6588,0.3500,480.00,12.480
3.6688,0.3500,460.00,12.485
3.6788,0.3500,480.00,12.485
3.6889,0.3500,480.00,12.476
3.6989,0.3500,460.00,12.476
3.7089,0.3500,460.00,12.485
3.7189,0.3500,480.00,12.476
3.7289,0.3500,480.00,12.480
3.7389,0.3500,460.00,12.485
3.7490,0.3500,480.00,12.480
3.7590,0.3500,480.00,12.480
3.7690,0.3500,480.00,12.480
