t_s,power,vel_tps,voltage_v
0.0001,0.2000,0.00,13.477
0.0227,0.2000,0.00,13.468
0.0327,0.2000,0.00,13.468
0.0427,0.2000,-20.00,13.472
0.0528,0.2000,-20.00,13.472
0.0628,0.2000,-40.00,13.468
0.0729,0.2000,-40.00,13.468
0.0829,0.2000,-60.00,13.472
0.0929,0.2000,-40.00,13.472
0.1029,0.2000,-60.00,13.477
0.1129,0.2000,-40.00,13.472
0.1226,0.2000,-60.00,13.468
0.1348,0.2000,-60.00,13.472
0.1448,0.2000,-60.00,13.477
0.1548,0.2000,-60.00,13.472
0.1649,0.2000,-80.00,13.472
0.1749,0.2000,-80.00,13.477
0.1849,0.2000,-60.00,13.477
0.1949,0.2000,-80.00,13.472
0.2049,0.2000,-80.00,13.477
0.2150,0.2000,-80.00,13.472
0.2247,0.2000,-80.00,13.477
0.2368,0.2000,-80.00,13.472
0.2475,0.2000,-80.00,13.477
0.2576,0.2000,-80.00,13.477
0.2676,0.2000,-80.00,13.472
0.2776,0.2000,-80.00,13.472
0.2876,0.2000,-80.00,13.472
0.2976,0.2000,-80.00,13.472
0.3076,0.2000,-80.00,13.472
0.3177,0.2000,-80.00,13.472
0.3268,0.2000,-80.00,13.477
0.3381,0.2000,-100.00,13.472
0.3481,0.2000,-100.00,13.472
0.3581,0.2000,-100.00,13.477
0.3682,0.2000,-100.00,13.477
0.3782,0.2000,-80.00,13.472
0.3882,0.2000,-80.00,13.477
0.3982,0.2000,-80.00,13.472
0.4083,0.2000,-80.00,13.472
0.4183,0.2000,-80.00,13.472
0.4283,0.2000,-100.00,13.472
0.4385,0.2000,-100.00,13.472
0.4485,0.2000,-100.00,13.477
0.4585,0.2000,-100.00,13.477
0.4685,0.2000,-100.00,13.477
0.4786,0.2000,-100.00,13.468
0.4886,0.2000,-100.00,13.477
0.4986,0.2000,-120.00,13.477
0.5077,0.2000,-120.00,13.472
0.5216,0.2000,-120.00,13.477
0.5312,0.2000,-120.00,13.472
0.5417,0.2000,-100.00,13.468
0.5517,0.2000,-100.00,13.477
0.5618,0.2000,-100.00,13.477
0.5718,0.2000,-100.00,13.472
0.5816,0.2000,-80.00,13.472
0.5920,0.2000,-100.00,13.472
0.6020,0.2000,-100.00,13.472
0.6120,0.2000,-80.00,13.472
0.6221,0.2000,-120.00,13.477
0.6321,0.2000,-100.00,13.477
0.6421,0.2000,-120.00,13.472
0.6521,0.2000,-100.00,13.477
0.6617,0.2000,-120.00,13.472
0.6722,0.2000,-100.00,13.472
0.6822,0.2000,-100.00,13.472
0.6922,0.2000,-100.00,13.472
0.7022,0.2000,-120.00,13.477
0.7122,0.2000,-120.00,13.472
0.7223,0.2000,-120.00,13.472
0.7323,0.2000,-120.00,13.468
0.7423,0.2000,-140.00,13.477
0.7523,0.2000,-120.00,13.472
0.7623,0.2000,-120.00,13.477
0.7724,0.2000,-120.00,13.481
0.7824,0.2000,-140.00,13.477
0.7924,0.2000,-120.00,13.477
0.8024,0.2000,-120.00,13.468
0.8124,0.2000,-140.00,13.477
0.8224,0.2000,-140.00,13.477
0.8324,0.2000,-120.00,13.477
0.8424,0.2000,-140.00,13.472
0.8524,0.2000,-140.00,13.472
0.8625,0.2000,-120.00,13.477
0.8725,0.2000,-140.00,13.481
0.8825,0.2000,-140.00,13.472
0.8925,0.2000,-120.00,13.468
0.9025,0.2000,-140.00,13.468
0.9126,0.2000,-140.00,13.472
0.9226,0.2000,-120.00,13.472
0.9326,0.2000,-140.00,13.472
0.9426,0.2000,-140.00,13.472
0.9526,0.2000,-120.00,13.472
0.9626,0.2000,-140.00,13.472
0.9727,0.2000,-140.00,13.472
0.9827,0.2000,-120.00,13.472
0.9927,0.2000,-120.00,13.472
1.0027,0.2000,-140.00,13.472
1.0064,0.2000,-120.00,13.472
1.0232,0.2000,-120.00,13.472
1.0332,0.2000,-120.00,13.477
1.0418,0.2000,-120.00,13.472
1.0536,0.2000,-120.00,13.472
1.0637,0.2000,-120.00,13.468
1.0737,0.2000,-120.00,13.468
1.0837,0.2000,-120.00,13.472
1.0937,0.2000,-120.00,13.472
1.1038,0.2000,-120.00,13.472
1.1138,0.2000,-120.00,13.472
1.1238,0.2000,-120.00,13.472
1.1338,0.2000,-140.00,13.472
1.1436,0.2000,-140.00,13.472
1.1548,0.2000,-120.00,13.472
1.1648,0.2000,-140.00,13.472
1.1749,0.2000,-140.00,13.472
1.1849,0.2000,-140.00,13.477
1.1949,0.2000,-140.00,13.472
1.2049,0.2000,-160.00,13.477
1.2149,0.2000,-140.00,13.477
1.2250,0.2000,-140.00,13.477
1.2350,0.2000,-140.00,13.477
1.2450,0.2000,-140.00,13.477
1.2550,0.2000,-120.00,13.472
1.2650,0.2000,-140.00,13.472
1.2750,0.2000,-140.00,13.477
1.2850,0.2000,-140.00,13.477
1.2950,0.2000,-140.00,13.472
1.3050,0.2000,-160.00,13.468
1.3151,0.2000,-140.00,13.472
1.3251,0.2000,-140.00,13.472
1.3351,0.2000,-140.00,13.472
1.3451,0.2000,-140.00,13.472
1.3551,0.2000,-120.00,13.472
1.3651,0.2000,-140.00,13.472
1.3751,0.2000,-140.00,13.468
1.3851,0.2000,-140.00,13.472
1.3952,0.2000,-140.00,13.472
1.4052,0.2000,-140.00,13.472
1.4152,0.2000,-120.00,13.472
1.4252,0.2000,-140.00,0.000
