t_s,power,vel_tps,voltage_v
0.0001,0.2000,0.00,13.529
0.0239,0.2000,0.00,13.477
0.0339,0.2000,0.00,13.472
0.0440,0.2000,0.00,13.472
0.0540,0.2000,0.00,13.472
0.0641,0.2000,0.00,13.472
0.0741,0.2000,0.00,13.472
0.0841,0.2000,0.00,13.472
0.0941,0.2000,0.00,13.472
0.1041,0.2000,0.00,13.468
0.1143,0.2000,0.00,13.472
0.1243,0.2000,0.00,13.472
0.1344,0.2000,0.00,13.468
0.1444,0.2000,0.00,13.468
0.1544,0.2000,0.00,13.463
0.1644,0.2000,0.00,13.468
0.1745,0.2000,0.00,13.468
0.1845,0.2000,0.00,13.468
0.1945,0.2000,0.00,13.468
0.2045,0.2000,0.00,13.468
0.2145,0.2000,0.00,13.468
0.2245,0.2000,0.00,13.468
0.2345,0.2000,0.00,13.468
0.2446,0.2000,0.00,13.463
0.2546,0.2000,0.00,13.463
0.2646,0.2000,0.00,13.463
0.2747,0.2000,0.00,13.463
0.2847,0.2000,0.00,13.459
0.2947,0.2000,0.00,13.463
0.3047,0.2000,0.00,13.463
0.3147,0.2000,0.00,13.463
0.3248,0.2000,0.00,13.463
0.3348,0.2000,0.00,13.463
0.3448,0.2000,0.00,13.463
0.3548,0.2000,0.00,13.463
0.3648,0.2000,0.00,13.463
0.3748,0.2000,0.00,13.463
0.3848,0.2000,0.00,13.468
0.3948,0.2000,0.00,13.463
0.4049,0.2000,0.00,13.463
0.4149,0.2000,0.00,13.463
0.4249,0.2000,0.00,13.463
0.4349,0.2000,0.00,13.463
0.4449,0.2000,0.00,13.463
0.4549,0.2000,0.00,13.459
0.4649,0.2000,0.00,13.463
0.4749,0.2000,0.00,13.463
0.4849,0.2000,0.00,13.463
0.4950,0.2000,0.00,13.463
0.5019,0.2000,0.00,13.463
0.5155,0.2000,0.00,13.463
0.5255,0.2000,0.00,13.459
0.5355,0.2000,0.00,13.459
0.5456,0.2000,0.00,13.459
0.5556,0.2000,0.00,13.463
0.5656,0.2000,0.00,13.463
0.5756,0.2000,0.00,13.459
