t_s,power,vel_tps,voltage_v
0.0002,0.2000,0.00,13.931
0.0311,0.2000,0.00,13.861
0.0412,0.2000,0.00,13.861
0.0515,0.2000,0.00,13.861
0.0617,0.2000,20.00,13.866
0.0717,0.2000,20.00,13.861
0.0819,0.2000,20.00,13.870
0.0920,0.2000,40.00,13.861
0.1022,0.2000,40.00,13.874
0.1121,0.2000,40.00,13.870
0.1224,0.2000,60.00,13.866
0.1324,0.2000,60.00,13.883
0.1426,0.2000,60.00,13.874
0.1529,0.2000,80.00,13.870
0.1629,0.2000,80.00,13.887
0.1731,0.2000,80.00,13.870
0.1832,0.2000,100.00,13.883
0.1933,0.2000,100.00,13.883
0.2034,0.2000,100.00,13.874
0.2134,0.2000,100.00,13.883
0.2236,0.2000,100.00,13.879
0.2336,0.2000,120.00,13.883
0.2439,0.2000,120.00,13.887
0.2540,0.2000,120.00,13.883
0.2641,0.2000,140.00,13.887
0.2742,0.2000,140.00,13.887
0.2843,0.2000,140.00,13.883
0.2944,0.2000,160.00,13.887
0.3045,0.2000,140.00,13.887
0.3146,0.2000,160.00,13.887
0.3246,0.2000,160.00,13.883
0.3346,0.2000,160.00,13.883
0.3447,0.2000,160.00,13.887
0.3548,0.2000,180.00,13.896
0.3649,0.2000,180.00,13.887
0.3750,0.2000,180.00,13.896
0.3850,0.2000,200.00,13.896
0.3951,0.2000,200.00,13.892
0.4052,0.2000,200.00,13.896
0.4153,0.2000,200.00,13.892
0.4253,0.2000,220.00,13.896
0.4354,0.2000,220.00,13.905
0.4454,0.2000,220.00,13.900
0.4555,0.2000,220.00,13.905
0.4655,0.2000,240.00,13.905
0.4756,0.2000,220.00,13.900
0.4856,0.2000,220.00,13.914
0.4956,0.2000,240.00,13.909
0.5034,0.2000,240.00,13.909
0.5152,0.2000,240.00,13.900
0.5318,0.2000,240.00,13.900
0.5418,0.2000,260.00,13.900
0.5519,0.2000,240.00,13.900
0.5619,0.2000,260.00,13.914
0.5720,0.2000,260.00,13.900
0.5820,0.2000,280.00,13.900
0.5920,0.2000,260.00,13.909
0.6021,0.2000,280.00,13.909
0.6121,0.2000,280.00,13.909
0.6222,0.2000,280.00,13.909
0.6322,0.2000,260.00,13.905
0.6423,0.2000,280.00,13.905
0.6524,0.2000,280.00,13.905
0.6624,0.2000,280.00,13.914
0.6725,0.2000,280.00,13.918
0.6825,0.2000,300.00,13.905
0.6926,0.2000,300.00,13.909
0.7026,0.2000,300.00,13.909
0.7126,0.2000,300.00,13.914
0.7227,0.2000,320.00,13.909
0.7328,0.2000,320.00,13.909
0.7429,0.2000,320.00,13.914
0.7529,0.2000,320.00,13.914
0.7630,0.2000,320.00,13.918
0.7730,0.2000,320.00,13.918
0.7831,0.2000,320.00,13.918
0.7932,0.2000,320.00,13.918
0.8032,0.2000,320.00,13.914
0.8160,0.2000,320.00,13.914
0.8261,0.2000,340.00,13.922
0.8361,0.2000,340.00,13.918
0.8462,0.2000,340.00,13.909
0.8563,0.2000,340.00,13.918
0.8663,0.2000,340.00,13.922
0.8763,0.2000,340.00,13.918
0.8863,0.2000,340.00,13.918
0.8960,0.2000,360.00,13.918
0.9066,0.2000,340.00,13.922
0.9166,0.2000,360.00,13.922
0.9266,0.2000,360.00,13.914
0.9367,0.2000,360.00,13.922
0.9467,0.2000,360.00,13.922
0.9570,0.2000,360.00,13.918
0.9671,0.2000,360.00,13.927
0.9772,0.2000,360.00,13.918
0.9872,0.2000,360.00,13.909
0.9973,0.2000,360.00,13.927
1.0055,0.2000,380.00,13.922
1.0188,0.2000,360.00,13.927
1.0361,0.2000,380.00,13.927
1.0461,0.2000,380.00,13.931
1.0562,0.2000,380.00,13.922
1.0662,0.2000,380.00,13.922
1.0768,0.2000,400.00,13.918
1.0869,0.2000,380.00,13.918
1.0970,0.2000,380.00,13.922
1.1070,0.2000,380.00,13.927
1.1170,0.2000,380.00,13.931
1.1270,0.2000,380.00,13.927
1.1370,0.2000,400.00,13.922
1.1471,0.2000,400.00,13.914
1.1571,0.2000,400.00,13.922
1.1671,0.2000,400.00,13.927
1.1771,0.2000,400.00,13.922
1.1871,0.2000,400.00,13.927
1.1971,0.2000,400.00,13.927
1.2072,0.2000,400.00,13.922
1.2172,0.2000,400.00,13.918
1.2272,0.2000,400.00,13.927
1.2372,0.2000,400.00,13.927
1.2473,0.2000,400.00,13.918
1.2573,0.2000,400.00,13.927
1.2673,0.2000,400.00,13.931
1.2773,0.2000,400.00,13.931
1.2873,0.2000,420.00,13.922
1.2973,0.2000,420.00,13.931
1.3073,0.2000,420.00,13.927
1.3174,0.2000,420.00,13.931
1.3274,0.2000,420.00,13.922
1.3375,0.2000,400.00,13.931
1.3475,0.2000,420.00,13.922
1.3575,0.2000,420.00,13.935
1.3675,0.2000,420.00,13.927
1.3776,0.2000,420.00,13.927
1.3876,0.2000,420.00,13.927
1.3976,0.2000,420.00,13.931
1.4076,0.2000,420.00,13.927
1.4176,0.2000,420.00,13.927
1.4276,0.2000,420.00,13.931
1.4377,0.2000,440.00,13.935
1.4477,0.2000,420.00,13.927
1.4577,0.2000,420.00,13.927
1.4677,0.2000,440.00,13.931
1.4777,0.2000,440.00,13.931
1.4878,0.2000,420.00,13.927
1.4978,0.2000,420.00,13.935
1.5078,0.2000,440.00,13.927
1.5130,0.2000,420.00,13.935
1.5250,0.2000,420.00,13.940
1.5415,0.2000,440.00,13.927
1.5515,0.2000,440.00,13.931
1.5615,0.2000,440.00,13.935
1.5716,0.2000,440.00,13.931
1.5816,0.2000,460.00,13.931
1.5917,0.2000,440.00,13.922
1.6017,0.2000,440.00,13.940
1.6117,0.2000,440.00,13.931
1.6217,0.2000,440.00,13.931
1.6318,0.2000,440.00,13.931
1.6418,0.2000,440.00,13.927
1.6518,0.2000,440.00,13.931
1.6619,0.2000,440.00,13.935
1.6719,0.2000,460.00,13.935
1.6820,0.2000,440.00,13.927
1.6920,0.2000,440.00,13.935
1.7020,0.2000,460.00,13.944
1.7120,0.2000,440.00,13.935
1.7220,0.2000,440.00,13.944
1.7320,0.2000,440.00,13.944
1.7421,0.2000,460.00,13.935
1.7521,0.2000,440.00,13.949
1.7621,0.2000,460.00,13.944
1.7721,0.2000,440.00,13.935
1.7822,0.2000,460.00,13.931
1.7922,0.2000,460.00,13.935
1.8022,0.2000,460.00,13.931
1.8122,0.2000,440.00,13.940
1.8223,0.2000,460.00,13.931
1.8323,0.2000,460.00,13.931
1.8423,0.2000,440.00,13.931
1.8523,0.2000,460.00,13.931
1.8623,0.2000,460.00,13.931
1.8723,0.2000,460.00,13.935
1.8823,0.2000,440.00,13.935
1.8924,0.2000,460.00,13.940
1.9024,0.2000,460.00,13.935
1.9124,0.2000,460.00,13.931
1.9224,0.2000,460.00,13.931
1.9324,0.2000,460.00,13.935
1.9425,0.2000,460.00,13.940
1.9525,0.2000,460.00,13.931
1.9625,0.2000,460.00,13.931
1.9725,0.2000,460.00,13.935
1.9825,0.2000,480.00,13.940
1.9926,0.2000,460.00,13.935
2.0026,0.2000,460.00,13.935
2.0126,0.2000,480.00,13.931
2.0180,0.2000,460.00,13.935
2.0307,0.2000,480.00,13.935
2.0478,0.2000,460.00,13.935
2.0578,0.2000,460.00,13.935
2.0679,0.2000,460.00,13.931
2.0779,0.2000,460.00,13.931
2.0879,0.2000,460.00,13.940
2.0979,0.2000,480.00,13.931
2.1080,0.2000,460.00,13.949
2.1181,0.2000,480.00,13.953
2.1281,0.2000,460.00,13.949
2.1381,0.2000,460.00,13.953
2.1481,0.2000,460.00,13.953
2.1582,0.2000,480.00,13.935
2.1682,0.2000,460.00,13.940
2.1782,0.2000,480.00,13.935
2.1882,0.2000,480.00,13.935
2.1982,0.2000,460.00,13.935
2.2082,0.2000,460.00,13.935
2.2183,0.2000,480.00,13.931
2.2283,0.2000,460.00,13.935
2.2383,0.2000,460.00,13.935
2.2483,0.2000,480.00,13.940
2.2584,0.2000,480.00,13.931
2.2684,0.2000,460.00,13.940
2.2784,0.2000,480.00,13.935
2.2884,0.2000,480.00,13.935
2.2984,0.2000,460.00,13.935
2.3085,0.2000,460.00,13.935
2.3185,0.2000,480.00,13.935
2.3285,0.2000,480.00,13.940
2.3386,0.2000,480.00,13.935
2.3486,0.2000,480.00,13.931
2.3586,0.2000,480.00,13.944
2.3686,0.2000,480.00,13.935
2.3786,0.2000,460.00,13.935
2.3887,0.2000,460.00,13.935
2.3987,0.2000,480.00,13.931
2.4087,0.2000,480.00,13.940
2.4187,0.2000,480.00,13.940
2.4288,0.2000,480.00,13.935
2.4388,0.2000,480.00,13.940
2.4488,0.2000,480.00,13.940
2.4588,0.2000,480.00,13.931
2.4688,0.2000,460.00,13.935
2.4789,0.2000,480.00,13.940
2.4889,0.2000,480.00,13.935
2.4989,0.2000,480.00,13.935
2.5089,0.3500,480.00,13.870
2.5189,0.3500,500.00,13.774
2.5290,0.3500,480.00,13.778
2.5390,0.3500,480.00,13.765
2.5490,0.3500,480.00,13.778
2.5590,0.3500,500.00,13.782
2.5690,0.3500,500.00,13.782
