t_s,power,vel_tps,voltage_v
0.0001,0.2000,0.00,13.551
0.0231,0.2000,0.00,13.498
0.0332,0.2000,0.00,13.498
0.0432,0.2000,0.00,13.498
0.0533,0.2000,0.00,13.498
0.0634,0.2000,0.00,13.498
0.0734,0.2000,0.00,13.498
0.0835,0.2000,0.00,13.498
0.0935,0.2000,0.00,13.498
0.1035,0.2000,0.00,13.494
0.1136,0.2000,0.00,13.494
0.1236,0.2000,0.00,13.494
0.1337,0.2000,0.00,13.494
0.1437,0.2000,0.00,13.494
0.1530,0.2000,0.00,13.485
0.1637,0.2000,0.00,13.485
0.1738,0.2000,0.00,13.494
0.1838,0.2000,0.00,13.494
0.1938,0.2000,0.00,13.490
0.2038,0.2000,0.00,13.490
0.2138,0.2000,0.00,13.490
0.2238,0.2000,0.00,13.490
0.2338,0.2000,0.00,13.490
0.2436,0.2000,0.00,13.490
0.2543,0.2000,0.00,13.485
0.2643,0.2000,0.00,13.485
0.2744,0.2000,0.00,13.485
0.2844,0.2000,0.00,13.485
0.2944,0.2000,0.00,13.485
0.3044,0.2000,0.00,13.485
0.3145,0.2000,0.00,13.485
0.3245,0.2000,0.00,13.490
0.3345,0.2000,0.00,13.485
0.3445,0.2000,0.00,13.490
0.3543,0.2000,0.00,13.490
0.3646,0.2000,0.00,13.490
0.3746,0.2000,0.00,13.485
0.3847,0.2000,0.00,13.485
0.3947,0.2000,0.00,13.485
0.4047,0.2000,0.00,13.490
0.4147,0.2000,0.00,13.485
0.4247,0.2000,0.00,13.485
0.4346,0.2000,0.00,13.485
0.4449,0.2000,0.00,13.485
0.4549,0.2000,0.00,13.485
0.4649,0.2000,0.00,13.485
0.4750,0.2000,0.00,13.485
0.4850,0.2000,0.00,13.490
0.4950,0.2000,0.00,13.485
0.5021,0.2000,0.00,13.485
0.5159,0.2000,0.00,13.485
0.5259,0.2000,0.00,13.485
0.5359,0.2000,0.00,13.485
0.5459,0.2000,0.00,13.485
0.5560,0.2000,0.00,13.490
0.5660,0.2000,0.00,13.485
0.5760,0.2000,0.00,13.485
0.5860,0.2000,0.00,13.485
0.5960,0.2000,0.00,13.485
0.6060,0.2000,0.00,13.490
0.6161,0.2000,0.00,13.485
0.6261,0.2000,0.00,13.485
0.6361,0.2000,0.00,13.485
0.6461,0.2000,0.00,13.485
0.6561,0.2000,0.00,13.485
0.6661,0.2000,0.00,13.481
0.6761,0.2000,0.00,13.481
0.6861,0.2000,0.00,13.485
0.6962,0.2000,0.00,13.485
0.7062,0.2000,0.00,13.485
0.7162,0.2000,0.00,13.481
0.7262,0.2000,0.00,13.485
0.7362,0.2000,0.00,13.485
0.7462,0.2000,0.00,13.485
0.7563,0.2000,0.00,13.485
0.7663,0.2000,0.00,13.485
0.7763,0.2000,0.00,13.485
0.7863,0.2000,0.00,13.485
0.7963,0.2000,0.00,13.481
0.8064,0.2000,0.00,13.477
0.8164,0.2000,0.00,13.481
0.8260,0.2000,0.00,13.481
0.8364,0.2000,0.00,13.481
0.8466,0.2000,0.00,13.481
0.8566,0.2000,0.00,13.481
0.8667,0.2000,0.00,13.485
0.8767,0.2000,0.00,13.481
0.8867,0.2000,0.00,13.485
0.8967,0.2000,0.00,13.481
0.9067,0.2000,0.00,13.481
0.9168,0.2000,0.00,13.477
0.9268,0.2000,0.00,13.485
0.9368,0.2000,0.00,13.481
0.9468,0.2000,0.00,13.477
0.9569,0.2000,0.00,13.481
0.9670,0.2000,0.00,13.481
0.9770,0.2000,0.00,13.481
0.9870,0.2000,0.00,13.485
0.9970,0.2000,0.00,13.485
1.0034,0.2000,0.00,13.481
1.0176,0.2000,0.00,13.481
1.0276,0.2000,0.00,13.481
1.0377,0.2000,0.00,13.481
1.0477,0.2000,0.00,13.485
1.0577,0.2000,0.00,13.481
1.0677,0.2000,0.00,13.481
1.0777,0.2000,0.00,13.485
1.0877,0.2000,0.00,13.481
1.0978,0.2000,0.00,13.485
1.1078,0.2000,0.00,13.485
1.1178,0.2000,0.00,13.485
1.1278,0.2000,0.00,13.490
1.1379,0.2000,0.00,13.485
1.1479,0.2000,0.00,13.481
1.1579,0.2000,0.00,13.481
1.1679,0.2000,0.00,13.485
1.1779,0.2000,0.00,13.481
1.1879,0.2000,0.00,0.000
