t_s,power,vel_tps,voltage_v
0.0101,0.2000,-0.00,13.311
0.0201,0.2000,-0.00,13.306
0.0301,0.2000,-0.00,13.297
0.0401,0.2000,-0.00,13.306
0.0501,0.2000,20.00,13.306
0.0600,0.2000,20.00,13.306
0.0702,0.2000,20.00,13.306
0.0803,0.2000,20.00,13.306
0.0903,0.2000,20.00,13.302
0.1003,0.2000,20.00,13.293
0.1104,0.2000,20.00,13.297
0.1204,0.2000,40.00,13.302
0.1304,0.2000,40.00,13.306
0.1405,0.2000,60.00,13.306
0.1501,0.2000,40.00,13.302
0.1605,0.2000,60.00,13.297
0.1706,0.2000,40.00,13.306
0.1806,0.2000,60.00,13.306
0.1906,0.2000,60.00,13.311
0.2007,0.2000,60.00,13.302
0.2107,0.2000,60.00,13.302
0.2207,0.2000,60.00,13.302
0.2307,0.2000,60.00,13.306
0.2408,0.2000,60.00,13.297
0.2508,0.2000,60.00,13.302
0.2609,0.2000,60.00,13.306
0.2700,0.2000,60.00,13.302
0.2830,0.2000,60.00,13.302
0.2930,0.2000,80.00,13.302
0.3032,0.2000,80.00,13.306
0.3132,0.2000,80.00,13.311
0.3232,0.2000,80.00,13.302
0.3332,0.2000,80.00,13.311
0.3433,0.2000,80.00,13.311
0.3535,0.2000,80.00,13.297
0.3640,0.2000,80.00,13.311
0.3741,0.2000,100.00,13.311
0.3841,0.2000,100.00,13.302
0.3933,0.2000,100.00,13.306
0.4047,0.2000,100.00,13.311
0.4147,0.2000,100.00,13.302
0.4247,0.2000,100.00,13.311
0.4348,0.2000,100.00,13.311
0.4448,0.2000,100.00,13.306
0.4548,0.2000,100.00,13.319
0.4648,0.2000,100.00,13.306
0.4749,0.2000,100.00,13.306
0.4849,0.2000,100.00,13.311
0.4949,0.2000,100.00,13.302
0.5049,0.2000,120.00,13.311
0.5149,0.2000,120.00,13.302
0.5250,0.2000,120.00,13.306
0.5350,0.2000,120.00,13.306
0.5450,0.2000,120.00,13.311
0.5550,0.2000,100.00,13.311
0.5651,0.2000,120.00,13.302
0.5751,0.2000,120.00,13.311
0.5851,0.2000,120.00,13.306
0.5951,0.2000,140.00,13.311
0.6051,0.2000,140.00,13.311
0.6151,0.2000,120.00,13.311
0.6251,0.2000,120.00,13.315
0.6341,0.2000,140.00,13.311
0.6454,0.2000,120.00,13.319
0.6554,0.2000,120.00,13.311
0.6654,0.2000,140.00,13.315
0.6754,0.2000,140.00,13.311
0.6855,0.2000,120.00,13.319
0.6955,0.2000,140.00,13.306
0.7055,0.2000,140.00,13.315
0.7155,0.2000,140.00,13.306
0.7255,0.2000,140.00,13.311
0.7355,0.2000,140.00,13.306
0.7451,0.2000,140.00,13.311
0.7558,0.2000,140.00,13.306
0.7659,0.2000,140.00,13.311
0.7759,0.2000,140.00,13.306
0.7860,0.2000,160.00,13.311
0.7960,0.2000,140.00,13.306
0.8060,0.2000,160.00,13.315
0.8160,0.2000,140.00,13.311
0.8260,0.2000,140.00,13.319
0.8361,0.2000,140.00,13.315
0.8461,0.2000,140.00,13.311
0.8561,0.2000,140.00,13.315
0.8662,0.2000,140.00,13.311
0.8768,0.2000,160.00,13.315
0.8869,0.2000,160.00,13.306
