t_s,power,vel_tps,voltage_v
0.0001,0.2000,0.00,13.538
0.0215,0.2000,0.00,13.477
0.0315,0.2000,0.00,13.468
0.0415,0.2000,0.00,13.468
0.0516,0.2000,0.00,13.463
0.0616,0.2000,0.00,13.463
0.0716,0.2000,0.00,13.459
0.0816,0.2000,0.00,13.459
0.0917,0.2000,0.00,13.459
0.1017,0.2000,0.00,13.459
0.1117,0.2000,0.00,13.463
0.1217,0.2000,0.00,13.459
0.1317,0.2000,0.00,13.459
0.1417,0.2000,0.00,13.459
0.1518,0.2000,0.00,13.459
0.1618,0.2000,0.00,13.459
0.1718,0.2000,0.00,13.459
0.1818,0.2000,0.00,13.459
0.1919,0.2000,0.00,13.455
0.2019,0.2000,0.00,13.459
0.2119,0.2000,0.00,13.455
0.2219,0.2000,0.00,13.455
0.2319,0.2000,0.00,13.455
0.2419,0.2000,0.00,13.459
0.2520,0.2000,0.00,13.455
0.2620,0.2000,0.00,13.455
0.2720,0.2000,0.00,13.455
0.2820,0.2000,0.00,13.455
0.2920,0.2000,0.00,13.455
0.3020,0.2000,0.00,13.455
0.3120,0.2000,0.00,13.455
0.3221,0.2000,0.00,13.455
0.3321,0.2000,0.00,13.455
0.3421,0.2000,0.00,13.455
0.3521,0.2000,0.00,13.455
0.3622,0.2000,0.00,13.455
0.3722,0.2000,0.00,13.455
0.3822,0.2000,0.00,13.450
0.3922,0.2000,0.00,13.450
0.4022,0.2000,0.00,13.455
0.4123,0.2000,0.00,13.455
0.4223,0.2000,0.00,13.455
0.4323,0.2000,0.00,13.455
0.4423,0.2000,0.00,13.455
0.4523,0.2000,0.00,13.455
0.4623,0.2000,0.00,13.455
0.4723,0.2000,0.00,13.455
0.4823,0.2000,0.00,13.455
0.4924,0.2000,0.00,13.455
0.5021,0.2000,0.00,13.455
0.5164,0.2000,0.00,13.455
0.5264,0.2000,0.00,13.455
0.5364,0.2000,0.00,13.450
0.5464,0.2000,0.00,13.455
0.5565,0.2000,0.00,13.455
0.5665,0.2000,0.00,13.455
0.5765,0.2000,0.00,13.455
0.5865,0.2000,0.00,13.450
0.5965,0.2000,0.00,13.455
0.6066,0.2000,0.00,13.455
0.6166,0.2000,0.00,13.455
0.6266,0.2000,0.00,13.450
0.6366,0.2000,0.00,13.455
0.6472,0.2000,0.00,13.450
0.6572,0.2000,0.00,13.450
0.6672,0.2000,0.00,13.455
0.6773,0.2000,0.00,13.455
0.6873,0.2000,0.00,13.450
0.6973,0.2000,0.00,13.450
0.7073,0.2000,0.00,13.455
0.7173,0.2000,0.00,13.455
0.7274,0.2000,0.00,13.450
0.7365,0.2000,0.00,13.455
0.7478,0.2000,0.00,13.455
0.7578,0.2000,0.00,13.450
0.7678,0.2000,0.00,13.450
0.7779,0.2000,0.00,13.450
0.7879,0.2000,0.00,13.455
0.7979,0.2000,0.00,13.455
0.8079,0.2000,0.00,13.450
0.8190,0.2000,0.00,13.450
