t_s,power,vel_tps,voltage_v
0.0003,0.2000,0.00,13.839
0.0288,0.2000,0.00,13.756
0.0390,0.2000,0.00,13.756
0.0491,0.2000,0.00,13.752
0.0591,0.2000,0.00,13.756
0.0692,0.2000,0.00,13.752
0.0793,0.2000,0.00,13.756
0.0894,0.2000,0.00,13.752
0.0995,0.2000,0.00,13.752
0.1096,0.2000,0.00,13.743
0.1196,0.2000,0.00,13.752
0.1298,0.2000,0.00,13.748
0.1399,0.2000,0.00,13.748
0.1500,0.2000,0.00,13.748
0.1601,0.2000,0.00,13.748
0.1704,0.2000,0.00,13.752
0.1805,0.2000,0.00,13.748
0.1905,0.2000,0.00,13.752
0.2006,0.2000,0.00,13.752
0.2107,0.2000,0.00,13.748
0.2208,0.2000,0.00,13.748
0.2308,0.2000,0.00,13.748
0.2408,0.2000,0.00,13.743
0.2508,0.2000,0.00,13.743
0.2606,0.2000,0.00,13.748
0.2712,0.2000,0.00,13.748
0.2812,0.2000,0.00,13.748
0.2912,0.2000,0.00,13.748
0.3013,0.2000,0.00,13.748
0.3113,0.2000,0.00,13.743
0.3213,0.2000,0.00,13.743
0.3314,0.2000,0.00,13.743
0.3415,0.2000,0.00,13.743
0.3515,0.2000,0.00,13.743
0.3616,0.2000,0.00,13.743
0.3716,0.2000,0.00,13.734
0.3816,0.2000,0.00,13.739
0.3917,0.2000,0.00,13.743
0.4017,0.2000,0.00,13.743
0.4117,0.2000,0.00,13.743
0.4217,0.2000,0.00,13.743
0.4318,0.2000,0.00,13.739
0.4418,0.2000,0.00,13.743
0.4518,0.2000,0.00,13.743
0.4620,0.2000,0.00,13.743
0.4721,0.2000,0.00,13.739
0.4821,0.2000,0.00,13.739
0.4921,0.2000,0.00,13.743
0.5021,0.2000,0.00,13.739
0.5069,0.2000,0.00,13.739
0.5253,0.2000,0.00,13.739
0.5353,0.2000,0.00,13.739
0.5453,0.2000,0.00,13.739
0.5554,0.2000,0.00,13.739
0.5654,0.2000,0.00,13.739
0.5755,0.2000,0.00,13.739
0.5855,0.2000,0.00,13.739
0.5955,0.2000,0.00,13.739
0.6056,0.2000,0.00,13.739
0.6156,0.2000,0.00,13.739
0.6256,0.2000,0.00,13.739
0.6357,0.2000,0.00,13.726
0.6457,0.2000,0.00,13.739
0.6558,0.2000,0.00,13.739
0.6658,0.2000,0.00,13.734
0.6758,0.2000,0.00,13.739
0.6858,0.2000,0.00,13.734
0.6958,0.2000,0.00,13.734
0.7058,0.2000,0.00,13.739
0.7159,0.2000,0.00,13.734
0.7259,0.2000,0.00,13.734
0.7359,0.2000,0.00,13.739
0.7459,0.2000,0.00,13.739
0.7559,0.2000,0.00,13.734
0.7660,0.2000,0.00,13.739
0.7760,0.2000,0.00,13.734
0.7860,0.2000,0.00,13.730
0.7961,0.2000,0.00,13.730
0.8061,0.2000,0.00,13.730
0.8161,0.2000,0.00,13.730
0.8261,0.2000,0.00,13.734
0.8361,0.2000,0.00,13.734
0.8461,0.2000,0.00,13.730
0.8562,0.2000,0.00,13.734
0.8659,0.2000,0.00,13.730
0.8775,0.2000,0.00,13.730
0.8875,0.2000,0.00,13.734
0.8975,0.2000,0.00,13.734
0.9075,0.2000,0.00,13.734
0.9175,0.2000,0.00,13.739
0.9276,0.2000,0.00,13.739
0.9376,0.2000,0.00,13.739
0.9476,0.2000,0.00,13.734
0.9576,0.2000,0.00,13.739
0.9676,0.2000,0.00,13.739
0.9776,0.2000,0.00,13.739
0.9877,0.2000,0.00,13.739
0.9977,0.2000,0.00,13.734
1.0077,0.2000,0.00,13.739
