t_s,power,vel_tps,voltage_v
0.0001,0.2000,0.00,13.512
0.0223,0.2000,0.00,13.468
0.0324,0.2000,0.00,13.468
0.0424,0.2000,0.00,13.468
0.0524,0.2000,-20.00,13.463
0.0624,0.2000,-20.00,13.459
0.0724,0.2000,-20.00,13.468
0.0825,0.2000,-40.00,13.468
0.0925,0.2000,-40.00,13.463
0.1025,0.2000,-40.00,13.468
0.1125,0.2000,-40.00,13.468
0.1227,0.2000,-60.00,13.463
0.1327,0.2000,-60.00,13.468
0.1428,0.2000,-60.00,13.463
0.1528,0.2000,-60.00,13.463
0.1628,0.2000,-60.00,13.463
0.1729,0.2000,-60.00,13.463
0.1829,0.2000,-40.00,13.472
0.1929,0.2000,-60.00,13.468
0.2029,0.2000,-60.00,13.468
0.2129,0.2000,-60.00,13.468
0.2230,0.2000,-60.00,13.463
0.2330,0.2000,-60.00,13.468
0.2430,0.2000,-60.00,13.463
0.2530,0.2000,-60.00,13.468
0.2630,0.2000,-60.00,13.468
0.2730,0.2000,-60.00,13.468
0.2830,0.2000,-60.00,13.468
0.2931,0.2000,-60.00,13.468
0.3031,0.2000,-60.00,13.468
0.3131,0.2000,-60.00,13.463
0.3231,0.2000,-60.00,13.463
0.3331,0.2000,-80.00,13.463
0.3431,0.2000,-60.00,13.468
0.3531,0.2000,-60.00,13.468
0.3631,0.2000,-80.00,13.468
0.3732,0.2000,-60.00,13.463
0.3832,0.2000,-60.00,13.468
0.3932,0.2000,-80.00,13.463
0.4032,0.2000,-80.00,13.468
0.4132,0.2000,-80.00,13.468
0.4233,0.2000,-100.00,13.468
0.4333,0.2000,-100.00,13.468
0.4433,0.2000,-100.00,13.468
0.4533,0.2000,-100.00,13.468
0.4633,0.2000,-100.00,13.468
0.4733,0.2000,-100.00,13.468
0.4833,0.2000,-100.00,13.468
0.4933,0.2000,-100.00,13.463
0.5022,0.2000,-100.00,13.468
0.5157,0.2000,-100.00,13.472
0.5258,0.2000,-100.00,13.477
0.5357,0.2000,-120.00,13.472
0.5458,0.2000,-120.00,13.472
0.5558,0.2000,-120.00,13.472
0.5658,0.2000,-120.00,13.472
0.5758,0.2000,-120.00,13.468
0.5858,0.2000,-120.00,13.472
0.5959,0.2000,-120.00,13.477
0.6059,0.2000,-120.00,13.472
0.6159,0.2000,-120.00,13.472
0.6259,0.2000,-140.00,13.472
0.6360,0.2000,-120.00,13.468
0.6460,0.2000,-120.00,13.472
0.6560,0.2000,-120.00,13.472
0.6662,0.2000,-120.00,13.472
0.6763,0.2000,-120.00,13.472
0.6863,0.2000,-120.00,13.468
0.6963,0.2000,-120.00,13.472
0.7063,0.2000,-120.00,13.468
0.7163,0.2000,-140.00,13.468
0.7263,0.2000,-120.00,13.468
0.7363,0.2000,-120.00,13.468
0.7463,0.2000,-120.00,13.472
0.7564,0.2000,-140.00,13.472
0.7664,0.2000,-120.00,13.472
0.7764,0.2000,-120.00,13.468
0.7864,0.2000,-120.00,13.468
0.7964,0.2000,-120.00,13.472
0.8061,0.2000,-100.00,13.472
0.8174,0.2000,-100.00,13.468
0.8274,0.2000,-120.00,13.472
0.8374,0.2000,-120.00,13.468
0.8475,0.2000,-120.00,13.472
0.8575,0.2000,-120.00,13.468
0.8675,0.2000,-120.00,13.472
0.8775,0.2000,-100.00,13.468
0.8875,0.2000,-100.00,13.468
0.8975,0.2000,-120.00,13.472
0.9076,0.2000,-120.00,13.468
0.9176,0.2000,-120.00,13.468
0.9276,0.2000,-120.00,13.468
0.9377,0.2000,-140.00,13.468
0.9477,0.2000,-120.00,13.463
0.9577,0.2000,-140.00,13.468
0.9677,0.2000,-140.00,13.472
0.9777,0.2000,-120.00,13.472
0.9877,0.2000,-140.00,13.472
0.9977,0.2000,-140.00,13.472
1.0078,0.2000,-140.00,13.472
1.0178,0.2000,-140.00,13.472
1.0278,0.2000,-140.00,13.477
1.0378,0.2000,-140.00,13.472
1.0478,0.2000,-140.00,13.472
1.0578,0.2000,-120.00,13.472
1.0673,0.2000,0.00,0.000
