t_s,power,vel_tps,voltage_v
0.0004,0.2000,0.00,13.555
0.0261,0.2000,0.00,13.555
0.0364,0.2000,0.00,13.555
0.0464,0.2000,0.00,13.560
0.0564,0.2000,0.00,13.555
0.0666,0.2000,-20.00,13.555
0.0767,0.2000,-20.00,13.551
0.0867,0.2000,-20.00,13.555
0.0967,0.2000,-40.00,13.551
0.1069,0.2000,-40.00,13.547
0.1170,0.2000,-40.00,13.551
0.1271,0.2000,-40.00,13.551
0.1371,0.2000,-60.00,13.547
0.1472,0.2000,-40.00,13.555
0.1572,0.2000,-60.00,13.551
0.1673,0.2000,-60.00,13.555
0.1774,0.2000,-60.00,13.551
0.1874,0.2000,-60.00,13.547
0.1975,0.2000,-60.00,13.555
0.2075,0.2000,-60.00,13.551
0.2176,0.2000,-40.00,13.547
0.2276,0.2000,-60.00,13.547
0.2378,0.2000,-40.00,13.547
0.2478,0.2000,-60.00,13.547
0.2579,0.2000,-40.00,13.551
0.2680,0.2000,-60.00,13.547
0.2781,0.2000,-40.00,13.551
0.2882,0.2000,-60.00,13.547
0.2982,0.2000,-40.00,13.547
0.3082,0.2000,-60.00,13.547
0.3183,0.2000,-40.00,13.542
0.3284,0.2000,-60.00,13.551
0.3384,0.2000,-60.00,13.547
0.3485,0.2000,-60.00,13.547
0.3585,0.2000,-60.00,13.551
0.3686,0.2000,-60.00,13.547
0.3787,0.2000,-60.00,13.551
0.3887,0.2000,-60.00,13.551
0.3988,0.2000,-60.00,13.547
0.4088,0.2000,-60.00,13.551
0.4189,0.2000,-60.00,13.547
0.4290,0.2000,-60.00,13.551
0.4391,0.2000,-60.00,13.551
0.4491,0.2000,-40.00,13.547
0.4591,0.2000,-60.00,13.547
0.4692,0.2000,-60.00,13.547
0.4792,0.2000,-60.00,13.547
0.4893,0.2000,-60.00,13.551
0.5003,0.2000,-60.00,13.551
0.5052,0.2000,-60.00,13.551
0.5243,0.2000,-40.00,13.551
0.5343,0.2000,-60.00,13.547
0.5444,0.2000,-60.00,13.551
0.5544,0.2000,-60.00,13.551
0.5644,0.2000,-60.00,13.551
0.5744,0.2000,-80.00,13.551
0.5845,0.2000,-80.00,13.547
0.5945,0.2000,-60.00,13.551
0.6046,0.2000,-80.00,13.551
0.6146,0.2000,-80.00,13.551
0.6246,0.2000,-80.00,13.555
0.6346,0.2000,-80.00,13.551
0.6447,0.2000,-100.00,13.551
0.6547,0.2000,-100.00,13.551
0.6647,0.2000,-100.00,13.551
0.6747,0.2000,-100.00,13.551
0.6848,0.2000,-100.00,13.551
0.6948,0.2000,-100.00,13.551
0.7048,0.2000,-100.00,13.551
0.7149,0.2000,-120.00,13.542
0.7249,0.2000,-120.00,13.551
0.7349,0.2000,-120.00,13.555
0.7449,0.2000,-120.00,13.551
0.7550,0.2000,-120.00,13.555
0.7649,0.2000,-120.00,13.555
0.7750,0.2000,-120.00,13.551
0.7850,0.2000,-120.00,13.555
0.7950,0.2000,-120.00,13.551
0.8052,0.2000,-120.00,13.555
0.8152,0.2000,-100.00,13.555
0.8252,0.2000,-120.00,13.555
0.8352,0.2000,-120.00,13.555
0.8452,0.2000,-120.00,13.551
0.8552,0.2000,-120.00,13.551
0.8653,0.2000,-120.00,13.551
0.8753,0.2000,-120.00,13.551
0.8853,0.2000,-120.00,13.551
0.8954,0.2000,-120.00,13.551
0.9054,0.2000,-120.00,13.547
0.9154,0.2000,-140.00,13.547
0.9255,0.2000,-120.00,13.547
0.9355,0.2000,-120.00,13.551
0.9455,0.2000,-120.00,13.551
0.9555,0.2000,-120.00,13.551
0.9655,0.2000,-120.00,13.555
0.9755,0.2000,-120.00,13.547
0.9856,0.2000,-120.00,13.551
0.9956,0.2000,-120.00,13.551
1.0051,0.2000,-120.00,13.551
1.0108,0.2000,-120.00,13.555
1.0297,0.2000,-120.00,13.555
1.0397,0.2000,-120.00,13.555
1.0497,0.2000,-120.00,13.547
1.0597,0.2000,-100.00,13.551
1.0697,0.2000,-100.00,13.555
1.0795,0.2000,-120.00,13.555
1.0899,0.2000,-120.00,13.555
1.0999,0.2000,-120.00,13.547
1.1099,0.2000,-120.00,13.551
1.1199,0.2000,-120.00,13.555
1.1299,0.2000,-100.00,13.551
1.1399,0.2000,-120.00,13.551
1.1499,0.2000,0.00,0.000
