t_s,power,vel_tps,voltage_v
0.0003,0.2000,0.00,13.595
0.0247,0.2000,0.00,13.547
0.0347,0.2000,0.00,13.551
0.0447,0.2000,0.00,13.542
0.0547,0.2000,0.00,13.542
0.0648,0.2000,0.00,13.542
0.0749,0.2000,0.00,13.542
0.0849,0.2000,0.00,13.542
0.0949,0.2000,0.00,13.538
0.1050,0.2000,0.00,13.542
0.1150,0.2000,0.00,13.542
0.1250,0.2000,0.00,13.538
0.1350,0.2000,0.00,13.538
0.1456,0.2000,0.00,13.538
0.1557,0.2000,0.00,13.538
0.1657,0.2000,0.00,13.538
0.1757,0.2000,0.00,13.538
0.1857,0.2000,0.00,13.538
0.1958,0.2000,0.00,13.533
0.2056,0.2000,0.00,13.533
0.2160,0.2000,0.00,13.538
0.2260,0.2000,0.00,13.538
0.2360,0.2000,0.00,13.533
0.2460,0.2000,0.00,13.533
0.2560,0.2000,0.00,13.533
0.2660,0.2000,0.00,13.533
0.2759,0.2000,0.00,13.533
0.2863,0.2000,0.00,13.529
0.2963,0.2000,0.00,13.533
0.3063,0.2000,0.00,13.533
0.3163,0.2000,0.00,13.533
0.3264,0.2000,0.00,13.533
0.3364,0.2000,0.00,13.533
0.3464,0.2000,0.00,13.533
0.3564,0.2000,0.00,13.533
0.3664,0.2000,0.00,13.533
0.3764,0.2000,0.00,13.533
0.3864,0.2000,0.00,13.533
0.3965,0.2000,0.00,13.533
0.4065,0.2000,0.00,13.533
0.4165,0.2000,0.00,13.533
0.4265,0.2000,0.00,13.533
0.4365,0.2000,0.00,13.533
0.4465,0.2000,0.00,13.529
0.4565,0.2000,0.00,13.533
0.4666,0.2000,0.00,13.533
0.4766,0.2000,0.00,13.533
0.4866,0.2000,0.00,13.533
0.4966,0.2000,0.00,13.533
0.5024,0.2000,0.00,13.529
0.5126,0.2000,0.00,13.533
0.5278,0.2000,0.00,13.533
0.5374,0.2000,0.00,13.529
0.5480,0.2000,0.00,13.529
0.5580,0.2000,0.00,13.533
0.5680,0.2000,0.00,13.533
0.5780,0.2000,0.00,13.533
0.5880,0.2000,0.00,13.533
0.5981,0.2000,0.00,13.533
0.6081,0.2000,0.00,13.529
0.6181,0.2000,0.00,13.533
0.6281,0.2000,0.00,13.533
0.6382,0.2000,0.00,13.529
0.6482,0.2000,0.00,13.529
0.6582,0.2000,0.00,13.529
0.6682,0.2000,0.00,13.529
0.6783,0.2000,0.00,13.529
0.6883,0.2000,0.00,13.529
0.6983,0.2000,0.00,13.529
0.7083,0.2000,0.00,13.529
0.7183,0.2000,0.00,13.529
0.7284,0.2000,0.00,13.529
0.7384,0.2000,0.00,13.529
0.7484,0.2000,0.00,13.529
0.7585,0.2000,0.00,13.529
0.7685,0.2000,0.00,13.529
0.7785,0.2000,0.00,13.529
0.7886,0.2000,0.00,13.529
0.7986,0.2000,0.00,13.529
0.8086,0.2000,0.00,13.529
0.8186,0.2000,0.00,13.529
0.8286,0.2000,0.00,13.533
0.8386,0.2000,0.00,13.529
0.8487,0.2000,0.00,13.529
0.8587,0.2000,0.00,13.529
0.8687,0.2000,0.00,13.529
0.8788,0.2000,0.00,13.529
0.8888,0.2000,0.00,13.529
0.8988,0.2000,0.00,13.529
0.9088,0.2000,0.00,13.529
0.9189,0.2000,0.00,13.529
0.9289,0.2000,0.00,13.529
0.9389,0.2000,0.00,13.529
0.9489,0.2000,0.00,13.525
0.9589,0.2000,0.00,13.525
0.9690,0.2000,0.00,13.529
0.9790,0.2000,0.00,13.529
0.9890,0.2000,0.00,13.529
0.9990,0.2000,0.00,13.529
1.0090,0.2000,0.00,13.529
1.0142,0.2000,0.00,13.529
1.0292,0.2000,0.00,13.529
1.0393,0.2000,0.00,13.525
1.0493,0.2000,0.00,13.529
1.0593,0.2000,0.00,13.525
1.0693,0.2000,0.00,13.525
1.0793,0.2000,0.00,13.525
1.0893,0.2000,0.00,13.529
1.0994,0.2000,0.00,13.525
1.1094,0.2000,0.00,13.525
1.1194,0.2000,0.00,13.525
1.1294,0.2000,0.00,13.525
1.1394,0.2000,0.00,13.525
1.1494,0.2000,0.00,13.525
1.1594,0.2000,0.00,13.525
1.1694,0.2000,0.00,13.525
1.1794,0.2000,0.00,13.525
1.1895,0.2000,0.00,13.525
1.1995,0.2000,0.00,13.529
1.2095,0.2000,0.00,13.525
1.2195,0.2000,0.00,13.525
1.2295,0.2000,0.00,13.525
1.2396,0.2000,0.00,13.525
1.2495,0.2000,0.00,13.525
1.2596,0.2000,0.00,13.525
1.2696,0.2000,0.00,13.520
1.2796,0.2000,0.00,13.520
1.2896,0.2000,0.00,13.525
1.2996,0.2000,0.00,13.525
1.3096,0.2000,0.00,13.525
1.3196,0.2000,0.00,13.525
1.3296,0.2000,0.00,13.525
1.3397,0.2000,0.00,13.520
1.3497,0.2000,0.00,13.525
1.3597,0.2000,0.00,13.520
1.3697,0.2000,0.00,13.525
1.3797,0.2000,0.00,13.525
1.3897,0.2000,0.00,13.525
1.3998,0.2000,0.00,13.520
1.4098,0.2000,0.00,13.525
1.4198,0.2000,0.00,13.520
1.4298,0.2000,0.00,13.525
1.4398,0.2000,0.00,13.520
1.4498,0.2000,0.00,13.525
1.4599,0.2000,0.00,13.520
1.4699,0.2000,0.00,13.520
1.4799,0.2000,0.00,13.520
1.4899,0.2000,0.00,13.520
1.4999,0.2000,0.00,13.525
1.5099,0.2000,0.00,13.525
1.5199,0.2000,0.00,13.525
1.5300,0.2000,0.00,13.520
1.5400,0.2000,0.00,13.520
1.5500,0.2000,0.00,13.525
1.5600,0.2000,0.00,13.520
1.5700,0.2000,0.00,13.520
1.5800,0.2000,0.00,13.525
1.5901,0.2000,0.00,13.520
1.6001,0.2000,0.00,13.525
1.6101,0.2000,0.00,13.520
1.6201,0.2000,0.00,13.520
1.6301,0.2000,0.00,13.520
1.6402,0.2000,0.00,13.520
1.6502,0.2000,0.00,13.520
1.6602,0.2000,0.00,13.520
1.6702,0.2000,0.00,13.520
1.6802,0.2000,0.00,13.525
1.6903,0.2000,0.00,13.525
1.7003,0.2000,0.00,13.520
1.7103,0.2000,0.00,13.520
1.7203,0.2000,0.00,13.520
1.7303,0.2000,0.00,13.520
1.7403,0.2000,0.00,13.520
1.7504,0.2000,0.00,13.520
1.7604,0.2000,0.00,13.520
1.7704,0.2000,0.00,13.516
1.7804,0.2000,0.00,13.520
1.7905,0.2000,0.00,13.516
1.8005,0.2000,0.00,13.516
1.8105,0.2000,0.00,13.520
1.8205,0.2000,0.00,13.516
1.8306,0.2000,0.00,13.516
1.8405,0.2000,0.00,13.516
1.8508,0.2000,0.00,13.516
1.8608,0.2000,0.00,13.520
1.8708,0.2000,0.00,13.520
1.8808,0.2000,0.00,13.520
1.8909,0.2000,0.00,13.520
1.9009,0.2000,0.00,13.516
1.9107,0.2000,0.00,13.520
1.9210,0.2000,0.00,13.520
1.9311,0.2000,0.00,13.520
1.9411,0.2000,0.00,13.520
1.9511,0.2000,0.00,13.520
1.9611,0.2000,0.00,13.520
1.9711,0.2000,0.00,13.516
1.9811,0.2000,0.00,13.520
1.9911,0.2000,0.00,13.520
2.0012,0.2000,0.00,13.520
2.0112,0.2000,0.00,13.520
2.0212,0.2000,0.00,13.520
2.0312,0.2000,0.00,13.520
2.0412,0.2000,0.00,13.516
2.0512,0.2000,0.00,13.520
2.0612,0.2000,0.00,13.516
2.0712,0.2000,0.00,13.520
2.0813,0.2000,0.00,13.520
2.0913,0.2000,0.00,13.520
2.1013,0.2000,0.00,13.520
2.1113,0.2000,0.00,13.516
2.1213,0.2000,0.00,13.520
2.1313,0.2000,0.00,13.520
2.1413,0.2000,0.00,13.520
2.1513,0.2000,0.00,13.520
2.1613,0.2000,0.00,13.520
2.1714,0.2000,0.00,13.520
2.1814,0.2000,0.00,13.520
2.1914,0.2000,0.00,13.520
2.2014,0.2000,0.00,13.520
2.2114,0.2000,0.00,13.520
2.2213,0.2000,0.00,13.520
2.2315,0.2000,0.00,13.520
2.2416,0.2000,0.00,13.520
2.2516,0.2000,0.00,13.520
2.2616,0.2000,0.00,13.516
2.2716,0.2000,0.00,13.520
2.2816,0.2000,0.00,13.516
2.2917,0.2000,0.00,13.520
2.3017,0.2000,0.00,13.512
2.3117,0.2000,0.00,13.516
2.3218,0.2000,0.00,13.520
2.3318,0.2000,0.00,13.520
2.3418,0.2000,0.00,13.520
2.3519,0.2000,0.00,13.516
2.3619,0.2000,0.00,13.520
2.3719,0.2000,0.00,13.520
2.3819,0.2000,0.00,13.520
2.3919,0.2000,0.00,13.520
2.4019,0.2000,0.00,13.516
2.4120,0.2000,0.00,13.516
2.4220,0.2000,0.00,13.516
2.4320,0.2000,0.00,13.520
2.4418,0.2000,0.00,13.520
2.4521,0.2000,0.00,13.520
2.4621,0.2000,0.00,13.516
2.4721,0.2000,0.00,13.516
2.4821,0.2000,0.00,13.516
2.4921,0.2000,0.00,13.520
2.5000,0.3500,0.00,13.516
2.5128,0.3500,0.00,13.363
2.5228,0.3500,0.00,13.345
2.5328,0.3500,0.00,13.345
2.5428,0.3500,0.00,13.341
2.5528,0.3500,0.00,13.341
2.5629,0.3500,0.00,13.337
2.5729,0.3500,0.00,13.332
2.5829,0.3500,0.00,13.337
2.5929,0.3500,0.00,13.337
2.6029,0.3500,0.00,13.337
2.6131,0.3500,0.00,13.332
2.6232,0.3500,0.00,13.332
2.6332,0.3500,0.00,13.332
2.6432,0.3500,0.00,13.337
2.6532,0.3500,0.00,13.332
2.6632,0.3500,0.00,13.328
2.6732,0.3500,0.00,13.332
2.6832,0.3500,0.00,13.328
2.6932,0.3500,0.00,13.332
2.7033,0.3500,0.00,13.328
2.7133,0.3500,0.00,13.328
2.7233,0.3500,0.00,13.328
2.7333,0.3500,0.00,13.324
2.7433,0.3500,0.00,13.328
2.7534,0.3500,0.00,13.328
2.7634,0.3500,0.00,13.324
2.7734,0.3500,0.00,13.324
2.7834,0.3500,0.00,13.324
2.7934,0.3500,0.00,13.324
2.8034,0.3500,0.00,13.324
2.8134,0.3500,0.00,13.328
2.8234,0.3500,0.00,13.324
2.8334,0.3500,0.00,13.324
2.8434,0.3500,0.00,13.324
2.8535,0.3500,0.00,13.324
2.8635,0.3500,0.00,13.324
2.8735,0.3500,0.00,13.324
2.8835,0.3500,0.00,13.319
2.8935,0.3500,0.00,13.319
2.9035,0.3500,0.00,13.324
2.9136,0.3500,0.00,13.324
2.9236,0.3500,0.00,13.324
2.9336,0.3500,0.00,13.319
2.9436,0.3500,0.00,13.319
2.9536,0.3500,0.00,13.324
2.9636,0.3500,0.00,13.319
2.9737,0.3500,0.00,13.319
2.9837,0.3500,0.00,13.319
2.9939,0.3500,0.00,13.315
3.0000,0.3500,0.00,13.319
3.0148,0.3500,0.00,13.319
3.0248,0.3500,0.00,13.319
3.0348,0.3500,0.00,13.319
3.0449,0.3500,0.00,13.315
3.0549,0.3500,0.00,13.319
3.0649,0.3500,0.00,13.315
3.0749,0.3500,0.00,13.319
3.0849,0.3500,0.00,13.319
3.0949,0.3500,0.00,13.315
3.1049,0.3500,0.00,13.319
3.1150,0.3500,0.00,13.319
3.1250,0.3500,0.00,13.315
3.1350,0.3500,0.00,13.315
3.1450,0.3500,0.00,13.315
3.1550,0.3500,0.00,13.315
3.1650,0.3500,0.00,13.319
3.1750,0.3500,0.00,13.319
3.1851,0.3500,0.00,13.315
3.1951,0.3500,0.00,13.315
3.2051,0.3500,0.00,13.315
3.2151,0.3500,0.00,13.319
3.2251,0.3500,0.00,13.315
3.2352,0.3500,0.00,13.315
3.2452,0.3500,0.00,13.311
3.2552,0.3500,0.00,13.315
3.2652,0.3500,0.00,13.315
3.2752,0.3500,0.00,13.315
3.2853,0.3500,0.00,13.306
3.2953,0.3500,0.00,13.311
3.3053,0.3500,0.00,13.306
3.3153,0.3500,0.00,13.311
3.3253,0.3500,0.00,13.311
3.3353,0.3500,0.00,13.306
3.3453,0.3500,0.00,13.306
3.3553,0.3500,0.00,13.306
3.3654,0.3500,0.00,13.311
3.3754,0.3500,0.00,13.315
3.3854,0.3500,0.00,13.311
3.3954,0.3500,0.00,13.311
3.4054,0.3500,0.00,13.306
3.4154,0.3500,0.00,13.311
