t_s,power,vel_tps,voltage_v
0.0001,0.2000,0.00,13.525
0.0201,0.2000,0.00,13.472
0.0302,0.2000,0.00,13.472
0.0403,0.2000,0.00,13.472
0.0503,0.2000,-20.00,13.472
0.0603,0.2000,-20.00,13.468
0.0703,0.2000,-20.00,13.472
0.0804,0.2000,-40.00,13.472
0.0904,0.2000,-40.00,13.472
0.1005,0.2000,-40.00,13.463
0.1105,0.2000,-40.00,13.472
0.1205,0.2000,-60.00,13.472
0.1305,0.2000,-40.00,13.472
0.1406,0.2000,-40.00,13.477
0.1506,0.2000,-40.00,13.472
0.1606,0.2000,-40.00,13.472
0.1706,0.2000,-40.00,13.472
0.1806,0.2000,-40.00,13.477
0.1906,0.2000,-60.00,13.468
0.2006,0.2000,-40.00,13.472
0.2107,0.2000,-60.00,13.472
0.2207,0.2000,-40.00,13.468
0.2307,0.2000,-60.00,13.472
0.2408,0.2000,-40.00,13.472
0.2508,0.2000,-60.00,13.468
0.2608,0.2000,-40.00,13.472
0.2708,0.2000,-60.00,13.472
0.2808,0.2000,-40.00,13.468
0.2908,0.2000,-60.00,13.472
0.3008,0.2000,-40.00,13.468
0.3108,0.2000,-60.00,13.468
0.3209,0.2000,-40.00,13.468
0.3309,0.2000,-60.00,13.463
0.3409,0.2000,-40.00,13.468
0.3509,0.2000,-60.00,13.468
0.3609,0.2000,-60.00,13.472
0.3709,0.2000,-60.00,13.472
0.3809,0.2000,-60.00,13.468
0.3910,0.2000,-80.00,13.472
0.4010,0.2000,-80.00,13.468
0.4110,0.2000,-60.00,13.468
0.4210,0.2000,-80.00,13.472
0.4311,0.2000,-80.00,13.477
0.4411,0.2000,-80.00,13.477
0.4512,0.2000,-80.00,13.477
0.4611,0.2000,-100.00,13.468
0.4713,0.2000,-100.00,13.472
0.4813,0.2000,-100.00,13.472
0.4914,0.2000,-100.00,13.472
0.5014,0.2000,-100.00,13.472
0.5064,0.2000,-100.00,13.472
0.5241,0.2000,-100.00,13.472
0.5342,0.2000,-100.00,13.477
0.5442,0.2000,-100.00,13.472
0.5542,0.2000,-120.00,13.477
0.5642,0.2000,-120.00,13.477
0.5742,0.2000,-120.00,13.477
0.5842,0.2000,-120.00,13.477
0.5942,0.2000,-120.00,13.477
0.6042,0.2000,-120.00,13.472
0.6143,0.2000,-120.00,13.477
0.6243,0.2000,-120.00,13.477
0.6343,0.2000,-120.00,13.472
0.6443,0.2000,-140.00,13.477
0.6543,0.2000,-120.00,13.481
0.6643,0.2000,-120.00,13.477
0.6743,0.2000,-120.00,13.481
0.6844,0.2000,-140.00,13.477
0.6944,0.2000,-120.00,13.472
0.7044,0.2000,-120.00,13.477
0.7144,0.2000,-120.00,13.477
0.7244,0.2000,-140.00,13.477
0.7345,0.2000,-120.00,13.472
0.7445,0.2000,-120.00,13.472
0.7545,0.2000,-120.00,13.477
0.7645,0.2000,-140.00,13.477
0.7745,0.2000,-120.00,13.472
0.7845,0.2000,-120.00,13.477
0.7946,0.2000,-120.00,13.477
0.8046,0.2000,-120.00,13.477
0.8146,0.2000,-120.00,13.477
0.8246,0.2000,-120.00,13.477
0.8346,0.2000,-120.00,13.472
0.8446,0.2000,-120.00,13.472
0.8547,0.2000,-120.00,13.477
0.8647,0.2000,-100.00,13.477
