t_s,power,vel_tps,voltage_v
0.0001,0.2000,0.00,13.516
0.0235,0.2000,0.00,13.494
0.0337,0.2000,0.00,13.494
0.0437,0.2000,-20.00,13.490
0.0537,0.2000,-20.00,13.494
0.0638,0.2000,-20.00,13.490
0.0739,0.2000,-40.00,13.494
0.0839,0.2000,-40.00,13.490
0.0939,0.2000,-20.00,13.494
0.1040,0.2000,-40.00,13.494
0.1140,0.2000,-40.00,13.494
0.1240,0.2000,-40.00,13.490
0.1341,0.2000,-40.00,13.485
0.1441,0.2000,-60.00,13.490
0.1541,0.2000,-60.00,13.490
0.1642,0.2000,-60.00,13.494
0.1743,0.2000,-60.00,13.494
0.1843,0.2000,-60.00,13.494
0.1943,0.2000,-60.00,13.494
0.2043,0.2000,-40.00,13.490
0.2143,0.2000,-60.00,13.494
0.2244,0.2000,-60.00,13.485
0.2344,0.2000,-80.00,13.494
0.2444,0.2000,-60.00,13.490
0.2544,0.2000,-80.00,13.494
0.2644,0.2000,-80.00,13.498
0.2745,0.2000,-80.00,13.494
0.2844,0.2000,-60.00,13.490
0.2945,0.2000,-80.00,13.494
0.3045,0.2000,-80.00,13.494
0.3146,0.2000,-80.00,13.490
0.3246,0.2000,-60.00,13.494
0.3346,0.2000,-80.00,13.490
0.3440,0.2000,-80.00,13.494
0.3553,0.2000,-80.00,13.490
0.3653,0.2000,-80.00,13.494
0.3753,0.2000,-80.00,13.494
0.3853,0.2000,-80.00,13.485
0.3953,0.2000,-80.00,13.494
0.4054,0.2000,-80.00,13.494
0.4154,0.2000,-80.00,13.494
0.4254,0.2000,-100.00,13.490
0.4354,0.2000,-80.00,13.490
0.4454,0.2000,-80.00,13.494
0.4554,0.2000,-80.00,13.494
0.4654,0.2000,-80.00,13.494
0.4755,0.2000,-80.00,13.498
0.4855,0.2000,-100.00,13.494
0.4955,0.2000,-100.00,13.498
0.5023,0.2000,-80.00,13.490
0.5160,0.2000,-80.00,13.494
0.5260,0.2000,-80.00,13.494
0.5360,0.2000,-80.00,13.494
0.5461,0.2000,-80.00,13.498
0.5561,0.2000,-100.00,13.498
0.5661,0.2000,-100.00,13.494
0.5761,0.2000,-100.00,13.494
0.5861,0.2000,-100.00,13.498
0.5962,0.2000,-100.00,13.494
0.6062,0.2000,-100.00,13.498
0.6162,0.2000,-120.00,13.494
0.6262,0.2000,-120.00,13.494
0.6353,0.2000,-120.00,13.494
0.6470,0.2000,-120.00,13.490
0.6570,0.2000,-120.00,13.498
0.6670,0.2000,-120.00,13.498
0.6770,0.2000,-120.00,13.494
0.6870,0.2000,-120.00,13.498
0.6971,0.2000,-140.00,13.494
0.7071,0.2000,-140.00,13.498
0.7171,0.2000,-120.00,13.498
0.7271,0.2000,-140.00,13.498
0.7371,0.2000,-140.00,13.494
0.7472,0.2000,-120.00,13.494
0.7572,0.2000,-140.00,13.494
0.7672,0.2000,-140.00,13.498
0.7772,0.2000,-120.00,13.498
0.7872,0.2000,-120.00,13.498
0.7972,0.2000,-140.00,13.498
0.8072,0.2000,-120.00,13.498
0.8172,0.2000,-120.00,13.503
0.8272,0.2000,-140.00,13.498
0.8372,0.2000,-140.00,13.498
0.8473,0.2000,-120.00,13.494
0.8573,0.2000,-140.00,13.494
0.8673,0.2000,-140.00,13.494
0.8774,0.2000,-140.00,13.494
0.8874,0.2000,-140.00,13.498
0.8967,0.2000,-140.00,13.498
0.9074,0.2000,-140.00,13.490
0.9174,0.2000,-140.00,13.494
0.9274,0.2000,-120.00,13.494
0.9375,0.2000,-120.00,13.494
0.9475,0.2000,-140.00,13.498
0.9575,0.2000,-120.00,13.494
0.9675,0.2000,-120.00,13.498
0.9776,0.2000,-120.00,13.498
0.9876,0.2000,-140.00,13.494
0.9976,0.2000,-120.00,13.494
1.0076,0.2000,-120.00,13.494
1.0176,0.2000,-120.00,13.494
1.0274,0.2000,0.00,0.000
